Area,O_BetweenStreet1,O_BetweenStreet2,DewPointC,DurationSeconds,FeelsLikeC,Hourly_Counts,Sensor_Id,Sensor_Name,Side Of Street,StreetId,StreetName,Time,WindChillC,WindGustKmph,cloudcover,humidity,moon_illumination,pressure,tempC,winddirDegree,windspeedKmph,Vehicle Present
26,40.0,16.0,10,5543,19,1123.0,36,11.0,5,1171,6,12,19,10,3,56,17,1017,19,230,9,0
14,3.0,25.0,15,677,20,248.0,36,11.0,1,1171,6,7,20,3,35,77,41,1018,19,145,2,0
3,0.0,0.0,16,15894,18,0.0,0,0.0,4,669,0,0,18,21,89,91,34,1020,18,194,15,0
15,36.0,12.0,7,1153,16,952.0,30,8.0,1,894,4,15,16,18,6,55,33,1023,16,181,14,0
3,0.0,0.0,11,6117,20,0.0,0,0.0,4,669,0,0,20,7,0,57,19,1021,18,30,4,1
20,38.0,21.0,19,47,27,1576.0,2,2.0,4,123,0,11,25,8,46,69,43,1016,25,134,6,0
6,18.0,30.0,12,505,17,1306.0,53,5.0,3,528,1,18,17,29,3,74,7,1006,17,9,14,1
0,0.0,0.0,14,783,16,0.0,0,0.0,3,926,3,0,16,20,73,87,55,1017,16,146,14,1
0,0.0,0.0,9,1945,28,0.0,0,0.0,3,926,3,0,29,19,0,29,19,1018,29,178,13,1
8,22.0,40.0,3,1811,9,2560.0,1,1.0,3,123,0,11,9,10,26,61,51,1020,10,263,8,0
1,0.0,0.0,11,361,24,0.0,0,0.0,4,907,1,0,23,21,0,47,12,1020,23,127,10,1
0,0.0,0.0,12,5634,25,0.0,0,0.0,3,926,3,0,24,17,2,46,55,1016,24,162,15,1
1,0.0,0.0,11,103,20,0.0,0,0.0,4,907,1,0,20,13,0,59,12,1021,18,93,6,1
2,0.0,0.0,11,92,26,0.0,0,0.0,4,926,3,0,26,22,0,39,12,1020,26,144,11,0
14,34.0,10.0,13,5241,25,3464.0,1,1.0,4,123,0,12,24,19,4,52,0,1016,24,181,17,1
2,0.0,0.0,12,379,25,0.0,0,0.0,4,926,3,0,22,25,0,53,55,1017,22,151,16,1
2,0.0,0.0,12,2056,25,0.0,0,0.0,4,926,3,0,25,26,0,45,55,1016,25,159,20,0
3,0.0,0.0,14,61,26,0.0,0,0.0,4,669,0,0,25,5,0,52,26,1019,22,180,5,1
17,41.0,32.0,12,1254,18,239.0,2,2.0,3,123,0,7,18,11,3,69,70,1019,17,40,7,0
0,0.0,0.0,16,92,21,0.0,0,0.0,3,926,3,0,21,16,75,75,34,1021,21,180,12,1
18,22.0,40.0,7,9,14,740.0,17,4.0,4,528,1,14,14,37,19,57,7,1013,15,344,24,0
4,35.0,37.0,11,4919,16,558.0,52,6.0,2,627,2,8,16,17,7,70,46,1010,16,122,14,0
3,0.0,0.0,9,52,28,0.0,0,0.0,4,911,2,0,29,19,0,29,19,1018,29,178,13,0
2,0.0,0.0,14,711,31,0.0,0,0.0,3,926,3,0,31,2,4,36,12,1020,30,128,2,0
3,0.0,0.0,14,1739,29,0.0,0,0.0,3,669,0,0,29,6,0,41,19,1020,27,60,5,0
2,0.0,0.0,10,700,26,0.0,0,0.0,4,926,3,0,25,20,0,41,19,1019,25,169,11,1
3,0.0,0.0,16,3694,28,0.0,0,0.0,4,911,2,0,27,8,12,49,41,1015,27,199,7,1
3,0.0,0.0,16,80,25,0.0,0,0.0,3,669,0,0,23,22,48,66,48,1014,23,184,18,0
3,0.0,0.0,16,411,21,0.0,0,0.0,3,669,0,0,21,25,54,73,48,1015,21,181,18,0
6,11.0,29.0,5,21,14,980.0,21,0.0,3,123,0,16,14,47,25,50,77,1006,15,356,29,0
0,0.0,0.0,15,462,25,0.0,0,0.0,4,926,3,0,24,1,27,56,41,1018,24,183,1,0
3,22.0,40.0,7,727,8,28.0,40,9.0,1,894,4,6,8,10,59,89,80,1025,8,253,5,1
0,34.0,10.0,5,11676,9,303.0,17,4.0,3,528,1,11,9,24,60,65,4,1016,11,320,17,1
